#
# Static Fee Routers.
#
0x10ED43C718714eb63d5aA57B78B54704E256024E 9975 Pancakeswap
0xdab669a83dde77cf0f3836ae3bef0e247e64df67 9970 Babyswap
0xcF0feBd3f17CEf5b47b0cD257aCf6025c5BFf3b7 9980 ApeSwap
0xBe65b8f75B9F20f4C522e0067a3887FADa714800 9970 Jetswap
0x71ac17934b60a4610dc58b715b61e45dcbde4054 9970 WardenSwap
0x1b02da8cb0d097eb8d57a175b88c7d8b47997506 9970 Sushiswap
0xA63B831264183D755756ca9AE5190fF5183d65D6 9970 ElkSwap
0x319EF69a98c8E8aAB36Aea561Daba0Bf3D0fa3ac 9970 PinkSwap
0xba67ba73774da585664661d22775db9761418dc5 9980 Annex
0x05E61E0cDcD2170a76F9568a110CEe3AFdD6c46f 9980 KnightSwap
0xb3ca4d73b1e0ea2c53b42173388cc01e1c226f40 9960 FstSwap
0xf29ace1fe5f36389d0dde450a0195a30c3770245 9975 W3swap
0x39255da12f96bb587c7ea7f22eead8087b0a59ae 9900 TRUTH
0x4eC3432d9443f05022e2Ff4E54fC7514BE2359e0 9900 Nomiswap
0xd954551853F55deb4Ae31407c423e67B1621424A 9970 BSCSwap
0x3a6d8ca21d1cf76f653a67577fa0d27453350dd8 9970 Biswap

#
# Dynamic Fee Routers. (Disabled Routers.)
#
# 0xb0eeb0632bab15f120735e5838908378936bd484 9830 AutoShark
# 0x7dae51bd3e3376b8c7c4900e9107f12be3af1ba8 9970 MDEX
# 0xD654953D746f0b114d1F85332Dc43446ac79413d 9990 Nomiswap
